,INDP,count_target,count_deidentified
6,4670,75,79
34,4680,5,7
0,4690,36,34
2,4770,42,38
16,4780,5,5
17,4795,49,48
10,4870,59,58
8,4880,26,35
20,4890,28,19
7,4971,189,221
30,4972,31,20
26,4980,22,17
29,4990,9,3
5,5070,66,58
25,5080,38,27
31,5090,50,63
4,5170,124,132
27,5180,15,16
24,5190,16,16
18,5275,57,66
19,5280,5,1
23,5295,5,5
14,5370,17,8
12,5381,44,42
3,5391,154,197
28,5470,14,11
21,5480,14,5
13,5490,21,20
1,5570,15,11
15,5580,32,32
22,5593,52,50
32,5670,4,3
33,5680,8,6
9,5690,13,11
11,5790,41,31
